x0000,y0000
25440000.,0.3257563631
25440600.,0.2783364413
25441200.,0.2765021791
25441800.,0.2766029152
25442400.,0.2808831124
25443000.,0.2857064354
25443600.,0.2877027292
25444200.,0.2909450633
25444800.,0.2905439835
25445400.,0.2875886419
25446000.,0.3014401307
25446600.,0.2987415525
25447200.,0.3022334451
25447800.,0.3143848548
25448400.,0.3158989988
25449000.,0.3208950547
25449600.,0.3247290990
25450200.,0.3212616136
25450800.,0.332367197
25451400.,0.3354699136
25452000.,0.3332543895
25452600.,0.3371229028
25453200.,0.3409155192
25453800.,0.340817424
25454400.,0.3425653066
25455000.,0.3374616983
25455600.,0.3420171996
25456200.,0.3421860309
25456800.,0.3402993998
25457400.,0.3391241565
25458000.,0.3415448722
25458600.,0.3434922600
25459200.,0.3422916264
25459800.,0.3371266876
25460400.,0.343266509
25461000.,0.3381400806
25461600.,0.3276762929
25462200.,0.3330214482
25462800.,0.3317637946
25463400.,0.3178032363
25464000.,0.3247018998
25464600.,0.3129655960
25465200.,0.3074099911
25465800.,0.3161821574
25466400.,0.3070084195
25467000.,0.3060066371
25467600.,0.3059528276
25468200.,0.2926944896
25468800.,0.2960532151
25469400.,0.2939301005
25470000.,0.2855927338
25470600.,0.2841532004
25471200.,0.2855839801
25471800.,0.2769860276
25472400.,0.2754742015
25473000.,0.2797478496
25473600.,0.2701274083
25474200.,0.2732883034
25474800.,0.2658908301
25475400.,0.2660153941
25476000.,0.2694295553
25476600.,0.2683871456
25477200.,0.2668127140
25477800.,0.2730520446
25478400.,0.2692396299
25479000.,0.2720233852
25479600.,0.2744079891
25480200.,0.2786308299
25480800.,0.2715862085
25481400.,0.2795610198
25482000.,0.2851253041
25482600.,0.2769767409
25483200.,0.2862647473
25483800.,0.2960811601
25484400.,0.2846280670
25485000.,0.2962771186
25485600.,0.3103620985
25486200.,0.2965478216
25486800.,0.3099504943
25487400.,0.3177231738
25488000.,0.3084938266
25488600.,0.3175133025
25489200.,0.3292075895
25489800.,0.3183477911
25490400.,0.334472718
25491000.,0.3375970581
25491600.,0.3334165316
25492200.,0.3356542289
25492800.,0.3366415816
25493400.,0.3386853294
25494000.,0.3391493161
25494600.,0.3406506817
25495200.,0.3429498755
25495800.,0.3402327922
25496400.,0.3475312158
25497000.,0.3493682450
25497600.,0.342348831
25498200.,0.3407362783
25498800.,0.3456780039
25499400.,0.3353974406
25500000.,0.3424517331
25500600.,0.3353240473
25501200.,0.3296948710
25501800.,0.3340738895
25502400.,0.3264148657
25503000.,0.3244314205
25503600.,0.3241539136
25504200.,0.3091466852
25504800.,0.3164432377
25505400.,0.3133266173
25506000.,0.3004066436
25506600.,0.3101695368
25507200.,0.2975613771
25507800.,0.2901010718
25508400.,0.3007516474
25509000.,0.2929468976
25509600.,0.2823567529
25510200.,0.2903971977
25510800.,0.2840798846
25511400.,0.2723844148
25512000.,0.2790481427
25512600.,0.2692782413
25513200.,0.2732686252
25513800.,0.2704680558
25514400.,0.2717265144
25515000.,0.2711944716
25515600.,0.2689057713
25516200.,0.2742527617
25516800.,0.2721940197
25517400.,0.2679307657
